Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Login_Invalid/Page_Swag Labs/input_Username""), username)",Firefox 148.0,,,06-03-2026 00:58:25,06-03-2026 00:58:26,0.792s,PASSED
"setText(findTestObject(""Login_Invalid/Page_Swag Labs/input_Password""), wrongPassword)",Firefox 148.0,,,06-03-2026 00:58:26,06-03-2026 00:58:27,0.738s,PASSED
"click(findTestObject(""Login_Invalid/Page_Swag Labs/input_login-button""))",Firefox 148.0,,,06-03-2026 00:58:27,06-03-2026 00:58:27,0.407s,PASSED
"errorDisplayed = verifyElementPresent(findTestObject(""Login_Invalid/Page_Swag Labs/h3_Epic sadface_ Username and password do not ma""), 10, OPTIONAL)",Firefox 148.0,,,06-03-2026 00:58:27,06-03-2026 00:58:28,0.398s,PASSED
if (errorDisplayed),Firefox 148.0,,,06-03-2026 00:58:28,06-03-2026 00:58:28,0.051s,PASSED
"takeScreenshot(""Login_Invalid/Page_Swag Labs/input_Password"")",Firefox 148.0,,,06-03-2026 00:58:28,06-03-2026 00:58:28,0.369s,PASSED
closeBrowser(),Firefox 148.0,,,06-03-2026 00:58:28,06-03-2026 00:58:31,2.769s,PASSED
,,,,,,,
Test Cases/Login/TC_Login_Valid,Firefox 148.0,,,06-03-2026 00:58:31,06-03-2026 00:58:41,10.158s,PASSED
"username = ""standard_user""",Firefox 148.0,,,06-03-2026 00:58:31,06-03-2026 00:58:31,0.003s,PASSED
"passwordEncrypted = ""qcu24s4901FyWDTwXGr6XA==""",Firefox 148.0,,,06-03-2026 00:58:31,06-03-2026 00:58:31,0.001s,PASSED
"openBrowser("""")",Firefox 148.0,,,06-03-2026 00:58:31,06-03-2026 00:58:35,4.035s,PASSED
maximizeWindow(),Firefox 148.0,,,06-03-2026 00:58:35,06-03-2026 00:58:36,0.346s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 148.0,,,06-03-2026 00:58:36,06-03-2026 00:58:36,0.865s,PASSED
"waitForElementVisible(findTestObject(""Login_Valid/Page_Swag Labs/input_Username""), 10)",Firefox 148.0,,,06-03-2026 00:58:36,06-03-2026 00:58:37,0.352s,PASSED
"setText(findTestObject(""Login_Valid/Page_Swag Labs/input_Username""), username)",Firefox 148.0,,,06-03-2026 00:58:37,06-03-2026 00:58:38,0.803s,PASSED
"setEncryptedText(findTestObject(""Login_Valid/Page_Swag Labs/input_Password""), passwordEncrypted)",Firefox 148.0,,,06-03-2026 00:58:38,06-03-2026 00:58:38,0.514s,PASSED
"click(findTestObject(""Login_Valid/Page_Swag Labs/input_login-button""))",Firefox 148.0,,,06-03-2026 00:58:38,06-03-2026 00:58:38,0.440s,PASSED
"loginSuccess = verifyElementPresent(findTestObject(""Login_Valid/Page_Swag Labs/div_Swag Labs""), 10, OPTIONAL)",Firefox 148.0,,,06-03-2026 00:58:38,06-03-2026 00:58:39,0.386s,PASSED
if (loginSuccess),Firefox 148.0,,,06-03-2026 00:58:39,06-03-2026 00:58:39,0.018s,PASSED
takeScreenshot(),Firefox 148.0,,,06-03-2026 00:58:39,06-03-2026 00:58:40,0.676s,PASSED
closeBrowser(),Firefox 148.0,,,06-03-2026 00:58:40,06-03-2026 00:58:41,1.601s,PASSED
,,,,,,,
Test Cases/Logout/TC_Logout,Firefox 148.0,,,06-03-2026 00:58:41,06-03-2026 00:58:53,12.252s,PASSED
"username = ""standard_user""",Firefox 148.0,,,06-03-2026 00:58:41,06-03-2026 00:58:41,0.002s,PASSED
"passwordEncrypted = ""qcu24s4901FyWDTwXGr6XA==""",Firefox 148.0,,,06-03-2026 00:58:41,06-03-2026 00:58:41,0.000s,PASSED
"openBrowser("""")",Firefox 148.0,,,06-03-2026 00:58:41,06-03-2026 00:58:46,4.451s,PASSED
maximizeWindow(),Firefox 148.0,,,06-03-2026 00:58:46,06-03-2026 00:58:46,0.350s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 148.0,,,06-03-2026 00:58:46,06-03-2026 00:58:47,0.660s,PASSED
"waitForElementVisible(findTestObject(""Logout/Page_Swag Labs/input_Username""), 10)",Firefox 148.0,,,06-03-2026 00:58:47,06-03-2026 00:58:47,0.347s,PASSED
"setText(findTestObject(""Logout/Page_Swag Labs/input_Username""), username)",Firefox 148.0,,,06-03-2026 00:58:47,06-03-2026 00:58:48,0.682s,PASSED
"setEncryptedText(findTestObject(""Logout/Page_Swag Labs/input_Password""), passwordEncrypted)",Firefox 148.0,,,06-03-2026 00:58:48,06-03-2026 00:58:48,0.419s,PASSED
"click(findTestObject(""Logout/Page_Swag Labs/input_login-button""))",Firefox 148.0,,,06-03-2026 00:58:48,06-03-2026 00:58:49,0.431s,PASSED
"waitForElementVisible(findTestObject(""Logout/Page_Swag Labs/button_react-burger-menu-btn""), 10)",Firefox 148.0,,,06-03-2026 00:58:49,06-03-2026 00:58:49,0.389s,PASSED
"click(findTestObject(""Logout/Page_Swag Labs/button_react-burger-menu-btn""))",Firefox 148.0,,,06-03-2026 00:58:49,06-03-2026 00:58:49,0.385s,PASSED
"click(findTestObject(""Logout/Page_Swag Labs/a_logout_sidebar_link""))",Firefox 148.0,,,06-03-2026 00:58:49,06-03-2026 00:58:50,0.416s,PASSED
"logoutSuccess = verifyElementPresent(findTestObject(""Logout/Page_Swag Labs/input_login-button""), 10, OPTIONAL)",Firefox 148.0,,,06-03-2026 00:58:50,06-03-2026 00:58:50,0.368s,PASSED
if (logoutSuccess),Firefox 148.0,,,06-03-2026 00:58:50,06-03-2026 00:58:50,0.024s,PASSED
"takeScreenshot(""Logout/Page_Swag Labs/button_react-burger-menu-btn"")",Firefox 148.0,,,06-03-2026 00:58:50,06-03-2026 00:58:51,0.318s,PASSED
"takeScreenshot(""Logout/Page_Swag Labs/a_logout_sidebar_link"")",Firefox 148.0,,,06-03-2026 00:58:51,06-03-2026 00:58:51,0.336s,PASSED
closeBrowser(),Firefox 148.0,,,06-03-2026 00:58:51,06-03-2026 00:58:53,2.578s,PASSED
